Season,Position,Team,Matches,Wins,Draws,Losses,Goals,Points
2011,1  ,Montpellier HSC,38,25,7,6,68:34,82
2011,2  ,Paris Saint-Germain,38,23,10,5,75:41,79
2011,3  ,LOSC Lille,38,21,11,6,72:39,74
2011,4  ,Olympique Lyon,38,19,7,12,64:51,64
2011,5  ,FC Girondins Bordeaux,38,16,13,9,53:41,61
2011,6  ,Stade Rennais FC,38,17,9,12,53:44,60
2011,7  ,AS Saint-Étienne,38,16,9,13,49:45,57
2011,8  ,FC Toulouse,38,15,11,12,37:34,56
2011,9  ,FC Évian Thonon Gaillard,38,13,11,14,54:55,50
2011,10  ,Olympique Marseille,38,12,12,14,45:41,48
2011,11  ,AS Nancy-Lorraine,38,11,12,15,38:48,45
2011,12  ,Valenciennes FC,38,12,7,19,40:50,43
2011,13  ,OGC Nice,38,10,12,16,39:46,42
2011,14  ,FC Sochaux-Montbéliard,38,11,9,18,40:60,42
2011,15  ,Stade Brestois 29,38,8,17,13,31:38,41
2011,16  ,AC Ajaccio,38,9,14,15,40:61,41
2011,17  ,FC Lorient,38,9,12,17,35:49,39
2011,18  ,SM Caen,38,9,11,18,39:59,38
2011,19  ,Dijon FCO,38,9,9,20,38:63,36
2011,20  ,AJ Auxerre,38,7,13,18,46:57,34
2012,1  ,Paris Saint-Germain,38,25,8,5,69:23,83
2012,2  ,Olympique Marseille,38,21,8,9,42:36,71
2012,3  ,Olympique Lyon,38,19,10,9,61:38,67
2012,4  ,OGC Nice,38,18,10,10,57:46,64
2012,5  ,AS Saint-Étienne,38,16,15,7,60:32,63
2012,6  ,LOSC Lille,38,16,14,8,59:40,62
2012,7  ,FC Girondins Bordeaux,38,13,16,9,40:34,55
2012,8  ,FC Lorient,38,14,11,13,57:58,53
2012,9  ,Montpellier HSC,38,15,7,16,54:51,52
2012,10  ,FC Toulouse,38,13,12,13,49:47,51
2012,11  ,Valenciennes FC,38,12,12,14,49:53,48
2012,12  ,SC Bastia,38,13,8,17,50:66,47
2012,13  ,Stade Rennais FC,38,13,7,18,48:59,46
2012,14  ,Stade Reims,38,10,13,15,33:42,43
2012,15  ,FC Sochaux-Montbéliard,38,10,11,17,41:57,41
2012,16  ,FC Évian Thonon Gaillard,38,10,10,18,46:53,40
2012,17  ,AC Ajaccio,38,9,15,14,39:51,40
2012,18  ,AS Nancy-Lorraine,38,9,11,18,38:58,38
2012,19  ,ESTAC Troyes,38,8,13,17,43:61,37
2012,20  ,Stade Brestois 29,38,8,5,25,32:62,29
2013,1  ,Paris Saint-Germain,38,27,8,3,84:23,89
2013,2  ,AS Monaco,38,23,11,4,63:31,80
2013,3  ,LOSC Lille,38,20,11,7,46:26,71
2013,4  ,AS Saint-Étienne,38,20,9,9,56:34,69
2013,5  ,Olympique Lyon,38,17,10,11,56:44,61
2013,6  ,Olympique Marseille,38,16,12,10,53:40,60
2013,7  ,FC Girondins Bordeaux,38,13,14,11,49:43,53
2013,8  ,FC Lorient,38,13,10,15,48:53,49
2013,9  ,FC Toulouse,38,12,13,13,46:53,49
2013,10  ,SC Bastia,38,12,11,15,42:56,49
2013,11  ,Stade Reims,38,12,12,14,44:52,48
2013,12  ,Stade Rennais FC,38,11,13,14,47:45,46
2013,13  ,FC Nantes,38,12,11,15,38:43,46
2013,14  ,FC Évian Thonon Gaillard,38,11,11,16,39:51,44
2013,15  ,Montpellier HSC,38,8,18,12,45:53,42
2013,16  ,EA Guingamp,38,11,9,18,34:42,42
2013,17  ,OGC Nice,38,12,6,20,30:44,42
2013,18  ,FC Sochaux-Montbéliard,38,10,10,18,37:61,40
2013,19  ,Valenciennes FC,38,7,8,23,37:65,29
2013,20  ,AC Ajaccio,38,4,11,23,37:72,23
2014,1  ,Paris Saint-Germain,38,24,11,3,83:36,83
2014,2  ,Olympique Lyon,38,22,9,7,72:33,75
2014,3  ,AS Monaco,38,20,11,7,51:26,71
2014,4  ,Olympique Marseille,38,21,6,11,76:42,69
2014,5  ,AS Saint-Étienne,38,19,12,7,51:30,69
2014,6  ,FC Girondins Bordeaux,38,17,12,9,47:44,63
2014,7  ,Montpellier HSC,38,16,8,14,46:39,56
2014,8  ,LOSC Lille,38,16,8,14,43:42,56
2014,9  ,Stade Rennais FC,38,13,11,14,35:42,50
2014,10  ,EA Guingamp,38,15,4,19,41:55,49
2014,11  ,OGC Nice,38,13,9,16,44:53,48
2014,12  ,SC Bastia,38,12,11,15,37:46,47
2014,13  ,SM Caen,38,12,10,16,54:55,46
2014,14  ,FC Nantes,38,11,12,15,29:40,45
2014,15  ,Stade Reims,38,12,8,18,47:66,44
2014,16  ,FC Lorient,38,12,7,19,44:50,43
2014,17  ,FC Toulouse,38,12,6,20,43:64,42
2014,18  ,FC Évian Thonon Gaillard,38,11,4,23,41:62,37
2014,19  ,FC Metz,38,7,9,22,31:61,30
2014,20  ,RC Lens,38,7,8,23,32:61,29
