Year,Team,Squad,Average_age,Market_value
2011,Paris Saint-Germain ,35,26.5,€211.10m
2011,Olympique Lyon ,42,23.3,€163.85m
2011,Olympique Marseille ,35,25.3,€146.50m
2011,LOSC Lille ,29,26.4,€145.35m
2011,Stade Rennais FC ,32,23.7,€101.80m
2011,Montpellier HSC ,31,26.0,€86.20m
2011,AS Saint-Étienne ,36,25.2,€85.60m
2011,FC Toulouse ,33,23.0,€83.05m
2011,FC Girondins Bordeaux ,30,25.2,€82.05m
2011,FC Sochaux-Montbéliard ,36,23.3,€58.80m
2011,FC Lorient ,36,24.9,€54.05m
2011,AS Nancy-Lorraine ,37,25.4,€53.90m
2011,OGC Nice ,34,24.9,€52.45m
2011,AJ Auxerre ,42,24.0,€50.90m
2011,Valenciennes FC ,36,24.4,€44.50m
2011,Stade Brestois 29 ,37,26.1,€43.20m
2011,Dijon FCO  ,34,24.9,€36.80m
2011,FC Évian Thonon Gaillard  ,33,27.0,€32.90m
2011,SM Caen ,28,25.4,€31.80m
2011,AC Ajaccio  ,33,26.2,€26.55m
2012,Paris Saint-Germain ,36,26.9,€313.60m
2012,Olympique Lyon ,52,23.9,€155.65m
2012,Olympique Marseille ,43,24.1,€150.65m
2012,LOSC Lille ,28,26.3,€114.60m
2012,Stade Rennais FC ,35,23.9,€97.80m
2012,AS Saint-Étienne ,34,24.8,€97.60m
2012,FC Toulouse ,32,23.6,€82.00m
2012,FC Girondins Bordeaux ,30,26.1,€80.95m
2012,Montpellier HSC ,36,25.3,€78.70m
2012,FC Lorient ,35,25.7,€63.75m
2012,OGC Nice ,39,23.3,€59.15m
2012,Valenciennes FC ,32,25.6,€49.75m
2012,FC Sochaux-Montbéliard ,34,24.7,€46.85m
2012,AS Nancy-Lorraine ,37,23.2,€36.85m
2012,Stade Brestois 29 ,37,25.4,€36.10m
2012,SC Bastia  ,37,25.8,€36.05m
2012,FC Évian Thonon Gaillard ,35,26.5,€34.55m
2012,AC Ajaccio ,32,27.2,€34.10m
2012,Stade Reims  ,29,25.9,€29.50m
2012,ESTAC Troyes  ,31,26.2,€21.80m
2013,Paris Saint-Germain ,33,25.0,€402.30m
2013,AS Monaco  ,45,25.1,€242.55m
2013,Olympique Marseille ,36,25.0,€141.30m
2013,Olympique Lyon ,36,24.2,€108.50m
2013,AS Saint-Étienne ,34,25.3,€105.40m
2013,Stade Rennais FC ,39,24.2,€92.60m
2013,LOSC Lille ,32,25.3,€74.10m
2013,FC Toulouse ,39,23.8,€67.40m
2013,FC Girondins Bordeaux ,38,25.4,€62.70m
2013,FC Lorient ,38,24.1,€57.15m
2013,OGC Nice ,42,22.9,€56.10m
2013,Montpellier HSC ,31,25.1,€52.35m
2013,FC Sochaux-Montbéliard ,44,24.3,€47.45m
2013,FC Nantes  ,34,25.1,€39.55m
2013,Stade Reims ,35,25.0,€38.73m
2013,Valenciennes FC ,34,25.5,€36.65m
2013,SC Bastia ,35,26.5,€35.60m
2013,FC Évian Thonon Gaillard ,35,25.9,€35.00m
2013,AC Ajaccio ,38,25.4,€28.30m
2013,EA Guingamp  ,30,26.6,€21.43m
2014,Paris Saint-Germain ,32,25.3,€363.90m
2014,AS Monaco ,34,24.1,€187.70m
2014,Olympique Lyon ,31,24.4,€144.65m
2014,Olympique Marseille ,34,23.2,€139.70m
2014,AS Saint-Étienne ,31,25.4,€83.35m
2014,LOSC Lille ,31,25.3,€82.65m
2014,FC Girondins Bordeaux ,39,23.8,€71.50m
2014,Stade Rennais FC ,30,24.9,€66.00m
2014,FC Lorient ,39,24.7,€59.95m
2014,OGC Nice ,37,23.4,€56.25m
2014,Montpellier HSC ,36,25.2,€51.95m
2014,FC Toulouse ,36,23.7,€48.80m
2014,FC Nantes ,30,25.0,€46.85m
2014,Stade Reims ,32,25.7,€39.25m
2014,EA Guingamp ,31,26.8,€36.25m
2014,FC Évian Thonon Gaillard ,33,27.0,€36.15m
2014,SC Bastia ,41,24.6,€34.25m
2014,SM Caen  ,27,27.1,€32.40m
2014,FC Metz  ,32,25.4,€29.85m
2014,RC Lens  ,29,24.4,€27.20m
2015,Paris Saint-Germain ,35,24.9,€436.30m
2015,AS Monaco ,39,23.3,€227.40m
2015,Olympique Lyon ,33,25.0,€166.30m
2015,Olympique Marseille ,38,23.9,€129.50m
2015,AS Saint-Étienne ,40,25.1,€97.20m
2015,Stade Rennais FC ,38,24.6,€94.15m
2015,FC Girondins Bordeaux ,42,23.5,€90.70m
2015,OGC Nice ,35,23.4,€71.00m
2015,LOSC Lille ,34,25.5,€70.80m
2015,FC Lorient ,35,24.7,€58.05m
2015,Montpellier HSC ,32,25.9,€44.40m
2015,Stade Reims ,35,25.7,€42.95m
2015,FC Toulouse ,32,24.1,€42.90m
2015,FC Nantes ,32,24.8,€39.30m
2015,SM Caen ,30,25.6,€36.80m
2015,EA Guingamp ,31,26.8,€33.50m
2015,SCO Angers  ,34,27.3,€32.35m
2015,ESTAC Troyes  ,37,26.3,€30.70m
2015,SC Bastia ,31,25.8,€24.25m
2015,GFC Ajaccio  ,30,25.8,€18.40m
2016,Paris Saint-Germain ,39,24.5,€519.00m
2016,AS Monaco ,47,23.2,€309.55m
2016,Olympique Lyon ,34,23.6,€211.35m
2016,OGC Nice ,39,23.5,€132.80m
2016,Olympique Marseille ,33,25.7,€119.65m
2016,FC Girondins Bordeaux ,36,24.6,€88.90m
2016,AS Saint-Étienne ,42,24.0,€85.03m
2016,LOSC Lille ,46,24.6,€83.90m
2016,Stade Rennais FC ,43,25.0,€80.90m
2016,FC Toulouse ,38,23.9,€77.30m
2016,FC Lorient ,41,25.1,€61.40m
2016,Montpellier HSC ,35,25.6,€60.95m
2016,FC Nantes ,30,24.4,€50.90m
2016,SCO Angers ,36,26.3,€46.08m
